SECTION;LEVEL;LAGERID
1;1;15
1;2;29
1;3;27
2;1;44
2;2;7
2;3;3
3;1;2
3;2;42
3;3;114
4;1;25
4;2;100
4;3;12
5;1;60
5;2;78
5;3;32
6;1;54
6;2;31
6;3;17
7;1;57
7;2;26
7;3;14
8;1;5
8;2;53
8;3;21
9;1;123
9;2;98
9;3;77
10;1;70
10;2;10
10;3;41
11;1;51
11;2;46
11;3;84
12;1;16
12;2;74
12;3;125
13;1;62
13;2;110
13;3;108
14;1;117
14;2;94
14;3;35
15;1;116
15;2;30
15;3;83
16;1;69
16;2;122
16;3;55
17;1;129
17;2;50
17;3;90
18;1;119
18;2;19
18;3;99
19;1;130
19;2;45
19;3;115
20;1;121
20;2;82
20;3;39
21;1;71
21;2;131
21;3;61
22;1;67
22;2;33
22;3;59
23;1;87
23;2;24
23;3;18
24;1;92
24;2;1
24;3;37
25;1;81
25;2;28
25;3;20
26;1;104
26;2;80
26;3;23
27;1;48
27;2;95
27;3;38
28;1;109
28;2;97
28;3;49
29;1;6
29;2;47
29;3;112
30;1;40
30;2;85
30;3;128
31;1;91
31;2;107
31;3;79
32;1;22
32;2;127
32;3;89
33;1;126
33;2;64
33;3;106
34;1;118
34;2;75
34;3;88
35;1;52
35;2;4
35;3;105
36;1;66
36;2;58
36;3;9
37;1;68
37;2;72
37;3;13
38;1;86
38;2;36
38;3;111
39;1;93
39;2;11
39;3;43
40;1;73
40;2;132
40;3;96
41;1;124
41;2;103
41;3;63
42;1;34
42;2;113
42;3;102
43;1;65
43;2;120
43;3;76
44;1;101
44;2;56
44;3;8
