CHEQUEID;LAGERID;KOLVO
22317;15;1.0
22317;7;1.0
22317;16;4.0
22317;17;1.0
22324;20;1.0
22324;14;1.0
22324;21;1.0
22350;15;1.0
22350;22;1.0
22350;3;1.0
22350;40;2.0
22350;41;1.0
22350;42;1.0
22350;32;1.0
22350;7;1.0
22350;43;1.0
22354;48;2.0
22354;44;6.0
22354;49;2.0
22358;29;1.0
22358;53;1.0
22358;4;1.0
22358;30;1.0
22358;31;1.0
22358;42;1.0
22358;27;1.0
22364;24;1.0
22364;27;1.0
22382;18;1.0
22385;2;2.0
22399;2;5.0
22399;29;1.0
22399;53;1.0
22399;30;1.0
22399;46;1.0
22399;50;1.0
22403;2;6.0
22403;65;1.0
22403;55;1.0
22403;67;1.0
22407;60;1.0
22407;69;2.0
22429;8;1.0
22429;17;1.0
22429;75;1.0
22429;76;1.0
22447;20;1.0
22447;75;1.0
22447;10;1.0
22463;2;2.0
22463;27;1.0
22474;40;1.0
22479;15;2.0
22479;29;1.0
22479;53;2.0
22479;7;1.0
22479;46;1.0
22479;27;2.0
22483;15;1.0
22483;22;2.0
22483;40;1.0
22483;25;1.0
22483;84;1.0
22483;63;1.0
22484;2;1.0
22484;15;1.0
22484;29;1.0
22484;11;1.0
22484;7;2.0
22484;54;1.0
22484;79;1.0
22503;44;3.0
22503;7;1.0
22503;69;2.0
22506;64;1.0
22507;19;1.0
22507;64;1.0
22531;38;1.0
22531;49;1.0
22531;89;1.0
22551;53;1.0
22551;31;1.0
22551;42;1.0
22551;79;1.0
22553;83;1.0
22553;66;2.0
22553;19;5.0
22556;3;1.0
22556;81;1.0
22561;7;1.0
22561;55;1.0
22561;67;1.0
22564;2;2.0
22564;7;1.0
22567;93;1.0
22567;50;1.0
22581;36;1.0
22581;15;1.0
22581;23;1.0
22581;44;3.0
22581;76;1.0
22581;69;1.0
22617;2;1.0
22617;23;1.0
22617;7;1.0
22617;58;1.0
22617;55;1.0
22617;69;1.0
22625;15;1.0
22625;29;1.0
22625;42;2.0
22625;14;1.0
22625;58;1.0
22625;69;1.0
22648;15;2.0
22648;17;1.0
22648;50;1.0
22648;91;2.0
22671;29;2.0
22671;32;1.0
22671;100;3.0
22671;101;1.0
22688;2;2.0
22694;5;1.0
22694;25;1.0
22694;14;1.0
22694;21;1.0
22712;55;1.0
22721;59;1.0
22721;102;1.0
22721;14;2.0
22721;21;1.0
22721;90;3.0
22726;2;12.0
22747;84;1.0
22747;20;1.0
22747;26;1.0
22747;14;1.0
22747;17;1.0
22747;90;1.0
22751;29;1.0
22751;23;2.0
22773;15;1.0
22773;29;2.0
22773;53;1.0
22773;60;1.0
22803;15;1.0
22803;41;1.0
22803;7;1.0
22803;33;1.0
22803;13;1.0
22803;67;1.0
22828;30;1.0
22828;31;1.0
22828;84;1.0
22828;75;1.0
22828;46;1.0
22828;96;1.0
22839;66;1.0
22840;48;5.0
22840;48;1.0
22840;42;1.0
22856;9;2.0
22858;9;2.0
22868;36;1.0
22868;29;1.0
22868;3;2.0
22868;44;9.0
22892;51;1.0
22892;83;3.0
22892;29;1.0
22892;61;2.0
22892;3;2.0
22892;30;1.0
22892;41;1.0
22892;105;1.0
22892;7;2.0
22892;55;1.0
22892;69;2.0
22894;8;1.0
22894;21;1.0
22894;39;1.0
22897;22;1.0
22897;29;1.0
22897;65;1.0
22897;69;3.0
22898;55;1.0
22959;54;2.0
22963;25;1.0
22976;99;3.0
22982;51;1.0
22982;15;1.0
22982;29;1.0
22982;30;1.0
22982;41;1.0
22982;42;1.0
22982;44;5.0
22982;81;1.0
22982;75;1.0
22984;51;1.0
22984;15;2.0
22984;83;3.0
22984;43;1.0
22986;21;1.0
22986;106;4.0
22986;74;2.0
22990;15;1.0
22990;82;1.0
22990;38;1.0
22990;74;2.0
22994;104;6.0
23002;54;1.0
23003;15;1.0
23003;27;2.0
23009;94;2.0
23009;78;1.0
23009;91;1.0
23021;54;1.0
23031;23;1.0
23038;29;2.0
23038;3;1.0
23038;41;1.0
23038;42;1.0
23038;13;1.0
23038;59;1.0
23038;16;4.0
23038;69;2.0
23044;15;2.0
23044;22;1.0
23044;44;7.0
23044;26;1.0
23044;104;1.0
23044;99;1.0
23044;27;2.0
23044;67;1.0
23051;42;1.0
23051;18;1.0
23051;103;1.0
23051;21;1.0
23051;93;2.0
23051;27;1.0
23086;2;6.0
23086;84;1.0
23086;101;1.0
23086;91;2.0
23093;15;1.0
23093;66;1.0
23093;54;1.0
23098;41;2.0
23098;13;2.0
23098;73;2.0
23098;108;1.0
23098;94;1.0
23107;3;1.0
23107;53;1.0
23107;7;1.0
23107;38;1.0
23107;35;1.0
23156;72;2.0
23156;7;1.0
23156;109;4.0
23156;21;1.0
23156;108;1.0
23156;110;1.0
23206;15;1.0
23206;22;2.0
23206;30;1.0
23206;31;1.0
23206;42;1.0
23206;71;1.0
23206;88;1.0
23213;15;2.0
23213;29;1.0
23213;88;1.0
23213;7;1.0
23213;60;1.0
23213;14;1.0
23213;69;2.0
23243;38;1.0
23243;89;1.0
23246;41;2.0
23246;42;1.0
23246;23;2.0
23246;7;2.0
23246;69;1.0
23249;31;2.0
23249;42;1.0
23249;81;1.0
23249;10;1.0
23260;15;2.0
23260;67;1.0
23293;1;1.0
23293;22;1.0
23293;30;1.0
23293;44;4.0
23293;33;1.0
23293;109;4.0
23294;1;2.0
23294;8;1.0
23294;39;1.0
23294;10;1.0
23343;112;1.0
23343;115;2.0
23361;40;1.0
23361;46;1.0
23361;50;1.0
23370;15;3.0
23370;22;4.0
23370;30;1.0
23370;82;1.0
23370;23;1.0
23370;109;4.0
23370;86;1.0
23375;36;1.0
23375;15;2.0
23375;22;2.0
23375;42;2.0
23375;23;1.0
23375;44;7.0
23375;25;1.0
23375;56;1.0
23375;38;1.0
23375;73;1.0
23375;109;4.0
23375;75;1.0
23375;85;1.0
23375;10;1.0
23377;95;1.0
23377;30;2.0
23377;71;1.0
23377;44;7.0
23377;114;3.0
23377;8;2.0
23377;109;2.0
23377;93;1.0
23377;110;1.0
23384;89;1.0
23400;2;6.0
23405;115;1.0
23405;47;2.0
23405;107;1.0
23427;103;1.0
23443;107;1.0
23453;51;1.0
23453;22;2.0
23453;5;3.0
23453;44;2.0
23453;81;1.0
23453;18;1.0
23465;14;1.0
23465;24;1.0
23465;63;1.0
23476;84;1.0
23476;54;1.0
23476;97;1.0
23485;91;1.0
23508;22;1.0
23508;12;1.0
23508;93;1.0
